# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,both,# training_level,intermediate,# days_per_week,4
filename,title,url
workouts__batman-workout-routine__a1c7c11d96.html,Batman Workout Routine: 14 Week Superhero Workout,https://www.muscleandstrength.com/workouts/batman-workout-routine
workouts__bulldozer-training-4-day-mini-dozer-workout-split__6cef25b218.html,"Bulldozer Training 4 Day ""Mini-Dozer"" Workout Split | Muscle & Strength",https://www.muscleandstrength.com/workouts/bulldozer-training-4-day-mini-dozer-workout-split
workouts__bulldozer-training-4-day-workout-split__7488370108.html,Bulldozer Training 4 Day Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/bulldozer-training-4-day-workout-split
workouts__daves-upper-lower-split.html__f492051820.html,Dave's Upper/ Lower Split (DULS) | Muscle & Strength,https://www.muscleandstrength.com/workouts/daves-upper-lower-split.html
workouts__daves-vif-mass-building-program.html__445a88529f.html,Dave's V.I.F Mass Building Program | Muscle & Strength,https://www.muscleandstrength.com/workouts/daves-vif-mass-building-program.html
workouts__double-down-training-back-off-set__164397124a.html,Double Down Training: Back-Off Set Muscle Building | Muscle & Strength,https://www.muscleandstrength.com/workouts/double-down-training-back-off-set
workouts__dougs-4-day-split-workout.html__60ad88c144.html,Doug's 4 Day Split Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/dougs-4-day-split-workout.html
workouts__dougs-mass-building-routine-for-ectomorphs.html__e87ee570a8.html,Doug's Mass Building Routine for Ectomorphs | Muscle & Strength,https://www.muscleandstrength.com/workouts/dougs-mass-building-routine-for-ectomorphs.html
workouts__drop-5-system-4-day-workout__66ec3e096d.html,Drop 5 System: 4 Day Mass Building Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/drop-5-system-4-day-workout
workouts__fast-mass-program__0917d1cd99.html,Fast Mass Program: The 4 Day Superset Split Workout,https://www.muscleandstrength.com/workouts/fast-mass-program
workouts__growing-strong-8-week-workout-for-intermediates__d358976e5c.html,Growing Strong: The Ultimate 8 Week Workout for Intermediates,https://www.muscleandstrength.com/workouts/growing-strong-8-week-workout-for-intermediates
workouts__muscle-rebound-workout__d21c9f6e84.html,"The ""Muscle Rebound"" Workout: 4 Day Strength Split Program",https://www.muscleandstrength.com/workouts/muscle-rebound-workout
workouts__phul-workout__c686df0c63.html,Power Hypertrophy Upper Lower (P.H.U.L.) Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/phul-workout
workouts__scrutinys-4-day-muscle-building-split.html__3b9f1c32ad.html,Scrutiny's 4 Day Muscle Building Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/scrutinys-4-day-muscle-building-split.html
workouts__sean-sullivans-power-base-workout.html__b632e08764.html,Sean Sullivan's Power Base Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/sean-sullivans-power-base-workout.html
workouts__shauns-4-day-muscle-building-split-routine.html__f3da78023e.html,Shaun's 4 Day Muscle Building Split Routine | Muscle & Strength,https://www.muscleandstrength.com/workouts/shauns-4-day-muscle-building-split-routine.html
workouts__shauns-4-day-progressive-overload-split.html__51e96a87f7.html,Shaun's 4 Day Progressive Overload Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/shauns-4-day-progressive-overload-split.html
workouts__shul-workout__62be865b37.html,Modified Strength Hypertrophy Upper Lower (S.H.U.L) Workout,https://www.muscleandstrength.com/workouts/shul-workout
workouts__steves-density-and-strength-4-day-split.html__6d5fa53a32.html,Density & Strength: 4-Day Powerbuilding Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/steves-density-and-strength-4-day-split.html
workouts__sweatshirt-swole-program__2403b16fe5.html,Sweatshirt Swole: The Ultimate Bulking Workout Plan,https://www.muscleandstrength.com/workouts/sweatshirt-swole-program
workouts__tank-top-workout__4c03c5db9d.html,Tank Top Workout: 4 Day Muscle Building Split,https://www.muscleandstrength.com/workouts/tank-top-workout
workouts__upper-lower-workout-for-tall-guys__7fbe5fef24.html,Upper/Lower Workout Routine for Tall Guys,https://www.muscleandstrength.com/workouts/upper-lower-workout-for-tall-guys
workouts__wild-20-powerbuilding-workout__e47e6610de.html,"Wild 20 Powerbuilding Workout: Get Crazy, Get Big & Strong | Muscle & Strength",https://www.muscleandstrength.com/workouts/wild-20-powerbuilding-workout
workouts__workout-program-to-get-huge__978b9f990a.html,12 Week Workout Program to Get Huge,https://www.muscleandstrength.com/workouts/workout-program-to-get-huge
